SEQN,intense,light,moderate,sedentary
21005.0,2.0,114.57142857142857,47.166666666666664,804.4285714285714
21006.0,2.0,189.14285714285714,8.714285714285714,761.8571428571429
21007.0,2.4,355.2857142857143,34.142857142857146,568.8571428571429
21008.0,6.2,147.71428571428572,40.4,779.0
21009.0,1.0,333.57142857142856,44.42857142857143,581.7142857142857
21010.0,1.0,421.14285714285717,9.571428571428571,529.1428571428571
21012.0,,224.57142857142858,5.333333333333333,730.8571428571429
21015.0,,257.42857142857144,3.0,699.5714285714286
21017.0,,313.42857142857144,51.166666666666664,602.7142857142857
21018.0,3.6666666666666665,40.0,26.0,918.7142857142857
21019.0,1.0,494.0,37.333333333333336,504.2857142857143
21020.0,,253.85714285714286,1.6,705.0
21025.0,3.0,343.0,26.285714285714285,590.2857142857143
21026.0,5.333333333333333,271.14285714285717,42.285714285714285,642.0
21027.0,9.857142857142858,403.42857142857144,94.85714285714286,451.85714285714283
21029.0,1.5,198.57142857142858,34.833333333333336,731.1428571428571
21031.0,,323.7142857142857,12.285714285714286,624.0
21032.0,,115.66666666666667,18.0,842.8571428571429
21033.0,,378.42857142857144,12.714285714285714,568.8571428571429
21034.0,,477.42857142857144,51.857142857142854,430.7142857142857
21035.0,9.0,323.2857142857143,47.0,582.0
21036.0,,231.85714285714286,2.0,726.4285714285714
21037.0,,34.714285714285715,1.25,924.5714285714286
21038.0,8.6,337.7142857142857,82.57142857142857,533.5714285714286
21039.0,,187.14285714285714,1.8333333333333333,771.2857142857143
21041.0,1.25,200.42857142857142,38.42857142857143,720.4285714285714
21043.0,,147.0,8.0,827.1428571428571
21045.0,18.0,346.85714285714283,70.85714285714286,529.4285714285714
21047.0,2.0,394.57142857142856,19.428571428571427,545.7142857142857
21048.0,,315.0,10.285714285714286,634.7142857142857
21049.0,,,,960.0
21050.0,5.0,177.14285714285714,23.0,778.8571428571429
21051.0,,379.85714285714283,24.428571428571427,555.7142857142857
21054.0,,221.85714285714286,2.6,736.2857142857143
21055.0,1.0,150.14285714285714,3.0,808.0
21057.0,1.0,130.57142857142858,9.571428571428571,819.5714285714286
21058.0,,253.85714285714286,4.666666666666667,702.1428571428571
21059.0,4.0,307.0,42.5,615.4285714285714
21060.0,7.6,243.57142857142858,33.714285714285715,677.2857142857143
21061.0,,375.2857142857143,7.0,577.7142857142857
21062.0,5.0,314.0,35.285714285714285,607.8571428571429
21063.0,,167.5,20.0,855.7142857142857
21064.0,7.0,325.2857142857143,45.0,586.7142857142857
21065.0,1.0,286.2857142857143,21.428571428571427,652.1428571428571
21066.0,,262.0,4.428571428571429,693.5714285714286
21067.0,1.0,185.14285714285714,16.857142857142858,757.8571428571429
