,SEQN,intense,light,moderate,sedentary,active
557,21817.0,0.0,277.42857142857144,11.666666666666664,672.5714285714286,0
558,21818.0,23.2,276.3333333333333,56.5,658.1428571428571,1
559,21819.0,0.0,172.14285714285714,18.5,772.0,0
560,21821.0,5.0,294.2857142857143,31.285714285714285,630.1428571428571,1
561,21823.0,0.0,370.4285714285714,19.0,570.5714285714286,0
562,21824.0,30.0,288.7142857142857,29.142857142857146,625.0,1
563,21825.0,0.0,305.1666666666667,36.333333333333336,667.2857142857142,1
564,21826.0,2.0,99.8,22.8,871.8571428571429,1
565,21828.0,7.857142857142858,347.28571428571433,66.71428571428571,538.1428571428571,1
566,21831.0,0.0,181.42857142857144,7.666666666666668,772.0,0
567,21832.0,0.0,378.0,7.142857142857142,574.8571428571429,0
568,21834.0,0.0,290.57142857142856,15.714285714285715,653.7142857142858,0
569,21835.0,5.7142857142857135,191.28571428571428,30.714285714285715,732.2857142857142,1
570,21836.0,0.0,152.66666666666666,1.0,829.0,0
571,21838.0,3.0,270.3333333333333,93.5,816.5714285714287,1
572,21839.0,1.5,150.16666666666666,16.666666666666668,816.5714285714287,0
573,21842.0,0.0,487.0,39.4,514.4285714285714,1
574,21844.0,2.0,279.85714285714283,41.714285714285715,637.5714285714286,1
575,21845.0,1.0,354.8571428571428,24.857142857142854,580.0,1
576,21846.0,4.0,5.857142857142858,3.5,952.5714285714287,0
577,21850.0,1.5,361.1428571428572,24.57142857142857,573.8571428571429,1
578,21851.0,5.0,235.14285714285717,75.0,647.0,1
579,21852.0,63.83333333333334,299.0,52.0,561.7142857142857,1
580,21853.0,2.4,306.42857142857144,49.28571428571429,602.5714285714286,1
581,21854.0,0.0,445.57142857142856,10.571428571428571,503.8571428571428,0
582,21855.0,2.5,403.8571428571428,56.0,499.4285714285714,1
583,21856.0,8.5,439.1428571428572,45.714285714285715,470.28571428571433,1
584,21859.0,0.0,258.0,1.3333333333333333,812.0,0
585,21860.0,0.0,287.0,3.5,670.0,0
586,21861.0,0.0,93.2,1.0,893.1428571428571,0
587,21862.0,3.6666666666666665,357.71428571428567,50.42857142857143,550.2857142857143,1
588,21864.0,0.0,122.4,0.0,872.5714285714287,0
589,21865.0,0.0,256.0,5.857142857142858,698.1428571428571,0
590,21867.0,1.6,260.14285714285717,22.285714285714285,676.4285714285714,1
591,21868.0,0.0,328.2857142857143,5.75,628.4285714285714,0
592,21869.0,0.0,432.66666666666674,11.25,582.7142857142858,0
593,21870.0,0.0,155.85714285714286,4.333333333333333,800.4285714285713,0
594,21871.0,0.0,171.57142857142858,10.0,779.8571428571429,0
595,21872.0,13.75,85.14285714285714,48.0,825.8571428571429,1
596,21877.0,3.0,279.85714285714283,30.57142857142857,648.2857142857142,1
597,21878.0,0.0,243.42857142857144,2.333333333333333,714.5714285714287,0
598,21880.0,8.166666666666666,361.71428571428567,78.0,513.2857142857143,1
599,21881.0,3.75,335.57142857142856,33.0,589.2857142857142,1
600,21882.0,1.0,201.85714285714286,49.42857142857143,708.5714285714287,1
601,21885.0,1.0,376.1428571428572,12.571428571428573,571.1428571428571,0
602,21886.0,3.0,203.14285714285717,13.2,746.5714285714287,0
603,21887.0,8.6,399.57142857142856,60.714285714285715,493.57142857142856,1
604,21888.0,0.0,39.0,1.5,948.4285714285713,0
605,21889.0,0.0,138.57142857142858,1.0,821.0,0
606,21890.0,0.0,330.57142857142856,16.142857142857142,613.2857142857142,0
607,21891.0,3.25,348.8571428571428,60.714285714285715,548.5714285714286,1
608,21892.0,0.0,376.28571428571433,28.285714285714285,555.4285714285714,1
609,21893.0,0.0,265.14285714285717,24.142857142857146,670.7142857142858,1
610,21894.0,1.0,281.57142857142856,1.2,677.4285714285714,0
611,21895.0,63.5,304.57142857142856,35.333333333333336,607.0,1
612,21896.0,0.0,270.7142857142857,2.833333333333333,686.8571428571429,0
613,21897.0,2.0,357.0,3.7142857142857135,599.0,0
614,21898.0,0.0,295.2857142857143,3.1666666666666665,662.0,0
615,21902.0,3.6666666666666665,421.6,107.6,580.4285714285714,1
616,21904.0,3.6666666666666665,215.28571428571428,23.142857142857146,720.0,1
617,21905.0,0.0,102.28571428571428,2.0,856.0,0
618,21908.0,6.571428571428571,383.0,72.28571428571429,498.1428571428572,1
619,21909.0,0.0,190.0,1.0,769.2857142857142,0
620,21912.0,2.0,163.66666666666666,25.8,801.0,1
621,21913.0,0.0,595.0,25.42857142857143,339.57142857142856,1
622,21915.0,0.0,390.8571428571428,42.714285714285715,526.4285714285714,1
623,21916.0,3.4285714285714284,180.42857142857144,22.714285714285715,753.4285714285713,1
624,21917.0,2.0,248.5,21.83333333333333,727.4285714285713,1
625,21919.0,4.25,172.28571428571428,17.857142857142858,767.4285714285713,1
626,21920.0,0.0,256.7142857142857,7.857142857142858,695.4285714285713,0
627,21922.0,0.0,301.85714285714283,3.6666666666666665,655.0,0
628,21923.0,1.0,216.85714285714286,9.857142857142858,733.1428571428571,0
629,21926.0,2.6666666666666665,291.42857142857144,10.285714285714286,657.1428571428571,0
630,21928.0,2.0,136.66666666666666,23.16666666666667,822.4285714285713,1
631,21929.0,1.0,410.8571428571428,20.142857142857142,528.8571428571429,1
632,21930.0,4.25,151.85714285714286,44.83333333333334,767.2857142857142,1
633,21931.0,6.0,352.0,36.42857142857143,569.8571428571429,1
634,21932.0,1.5,218.33333333333331,21.166666666666668,754.2857142857142,1
635,21933.0,0.0,66.71428571428571,3.0,891.5714285714287,0
636,21934.0,0.0,317.57142857142856,9.285714285714286,633.1428571428571,0
637,21935.0,0.0,514.4285714285714,21.5,427.1428571428572,1
638,21939.0,1.0,279.3333333333333,30.5,694.1428571428571,1
639,21943.0,0.0,142.0,11.5,852.0,0
640,21944.0,2.333333333333333,313.42857142857144,16.714285714285715,628.8571428571429,0
641,21945.0,0.0,66.42857142857143,11.25,887.1428571428571,0
642,21947.0,5.142857142857143,288.0,73.57142857142857,593.2857142857142,1
643,21951.0,1.0,287.0,41.714285714285715,630.8571428571429,1
644,21952.0,0.0,0.0,0.0,960.0,0
645,21953.0,1.6666666666666667,382.2,27.8,666.4285714285714,1
646,21954.0,0.0,258.2857142857143,4.571428571428571,697.1428571428571,0
647,21956.0,0.0,59.42857142857143,1.6,899.4285714285713,0
648,21957.0,0.0,379.6,37.8,661.8571428571429,1
