,SEQN,RIDAGEYR,DMDEDUC2,DMDHHSIZ,INDFMPIR,gender_1.0,gender_2.0,marital_1.0,marital_2.0,marital_3.0,marital_4.0,marital_5.0,marital_6.0
79,21171.0,20.0,4.0,1.0,0.1,0,1,0,0,0,0,1,0
80,21172.0,51.0,3.0,6.0,0.77,1,0,1,0,0,0,0,0
81,21173.0,69.0,1.0,1.0,2.06,0,1,0,0,0,0,1,0
82,21177.0,43.0,4.0,3.0,2.67,0,1,0,0,0,0,1,0
83,21178.0,45.0,1.0,3.0,1.6,0,1,0,1,0,0,0,0
84,21181.0,61.0,3.0,3.0,0.86,0,1,1,0,0,0,0,0
85,21183.0,73.0,4.0,2.0,4.0,1,0,1,0,0,0,0,0
86,21184.0,47.0,4.0,6.0,1.23,0,1,1,0,0,0,0,0
87,21185.0,61.0,5.0,1.0,5.0,1,0,0,0,1,0,0,0
88,21192.0,80.0,1.0,2.0,1.4,0,1,1,0,0,0,0,0
89,21193.0,40.0,3.0,5.0,4.18,1,0,1,0,0,0,0,0
90,21194.0,29.0,3.0,3.0,1.66,0,1,0,0,1,0,0,0
91,21195.0,26.0,1.0,6.0,0.0,1,0,0,0,0,0,1,0
92,21199.0,85.0,2.0,2.0,1.52,1,0,1,0,0,0,0,0
93,21204.0,62.0,2.0,4.0,1.2,1,0,1,0,0,0,0,0
94,21205.0,40.0,4.0,5.0,0.28,0,1,1,0,0,0,0,0
95,21206.0,20.0,2.0,6.0,0.58,1,0,0,0,0,0,1,0
96,21209.0,54.0,4.0,3.0,1.23,0,1,0,0,0,1,0,0
97,21213.0,51.0,4.0,2.0,5.0,0,1,1,0,0,0,0,0
98,21214.0,36.0,5.0,3.0,5.0,0,1,1,0,0,0,0,0
99,21215.0,23.0,5.0,3.0,5.0,1,0,0,0,0,0,1,0
100,21216.0,74.0,1.0,3.0,2.23,1,0,1,0,0,0,0,0
101,21217.0,76.0,2.0,2.0,1.24,0,1,1,0,0,0,0,0
102,21219.0,21.0,4.0,3.0,3.12,1,0,0,0,0,0,1,0
103,21220.0,44.0,4.0,1.0,4.68,0,1,0,0,1,0,0,0
104,21221.0,23.0,3.0,4.0,2.29,1,0,0,0,0,0,1,0
105,21223.0,34.0,3.0,4.0,0.64,0,1,1,0,0,0,0,0
106,21224.0,47.0,2.0,5.0,0.67,0,1,0,0,0,1,0,0
107,21225.0,26.0,5.0,2.0,2.15,0,1,0,0,0,0,0,1
108,21228.0,63.0,4.0,2.0,3.2,0,1,1,0,0,0,0,0
109,21232.0,24.0,4.0,4.0,5.0,1,0,1,0,0,0,0,0
110,21233.0,49.0,2.0,6.0,5.0,0,1,1,0,0,0,0,0
111,21239.0,38.0,1.0,2.0,1.04,1,0,0,0,0,0,1,0
112,21240.0,74.0,4.0,1.0,1.17,0,1,0,1,0,0,0,0
113,21242.0,26.0,5.0,2.0,5.0,1,0,1,0,0,0,0,0
114,21244.0,27.0,4.0,4.0,5.0,0,1,1,0,0,0,0,0
115,21247.0,31.0,5.0,2.0,5.0,1,0,0,0,0,0,0,1
116,21252.0,62.0,4.0,2.0,2.64,0,1,1,0,0,0,0,0
117,21253.0,85.0,3.0,4.0,1.29,1,0,0,1,0,0,0,0
118,21256.0,27.0,1.0,6.0,2.38,1,0,0,0,0,0,1,0
119,21257.0,67.0,1.0,3.0,1.64,0,1,1,0,0,0,0,0
120,21263.0,85.0,1.0,2.0,2.48,0,1,0,0,0,0,1,0
